brand,count
Bauer Oelzapf Mineralölvertrieb GmbH,1
nordenergie,1
Autohaus Lang GmbH - BFT,1
V-Markt Marktoberdorf,1
MINERA  Automatenstation,1
Egon von Haw,1
Autohaus Jagow,1
Nicht mehr aktiv,1
gelöscht,1
Rossnagel Tankstelle,1
Grüning Automobile Krempel,1
Kessel Mineralöl,1
FT,1
Freie Tankstelle Piper,1
Tankstelle Lietsch,1
EDEKA Walke,1
BFT Willig´s GTR-Tankhof,1
LD Tankstelle Nürtingen,1
RWZ-Kassel,1
Flora Park,1
BFT / Tankstelle  Lang,1
Freie Tankstelle Thode,1
Alb-Donau-Center,1
Raiffeisenbank Oberstadion,1
Tankstelle Schröder,1
bft SENG Hattenhof,1
Eichhorn AG,1
Fritz Walter GmbH,1
Tank und Wasch,1
Tankstelle Teuchern,1
Freie Tankstelle AH Holste,1
BFT Eilsleben,1
Freie Tankstelle Weilheim-Teck,1
Freie Tankstelle Schütte,1
Mc Sprit,1
Hirschmann,1
 Freie Tankstelle Hirschmann,1
Tankstelle & Espressobar Nardi,1
R. Tesche GmbH,1
Freie Tankstelle Leyh GmbH,1
SB-Tanken Herget,1
Tank und Waschcenter,1
Raiffeisen Tungeln,1
Raiffeisen - LBAG Schmalenbrücke eG,1
Tankhof Lengenfeld,1
Kühling Tankstelle,1
BFT Auto-Team GmbH,1
Ott Transporte-Tankstelle e.K.,1
SB-Tankstelle Illerpark Rieden,1
SB Tankstelle Wallner,1
Schütz - Freie Tankstelle,1
BAUM,1
BFT ,1
Easy Sprit,1
TANKHOF SAUERLACH,1
Rapp - Freie Tankstelle,1
Freie Tankstelle Faistenhaar,1
Schmid Tank- und Waschcenter,1
Freie Tankstelle Cinar,1
Freie Tankstelle Langhans Gmbh,1
ST 2 Tankstelle,1
Wittmann Oil,1
WATA waschen & tanken eK.,1
Frei Tankstelle Lange,1
BFT Tankstelle Michael Richter,1
Tank-Eck,1
Tankstation Ober-Ramstadt,1
GILLET tanken & waschen,1
Freie Tankstelle Schramm,1
LD Tankstelle Backnang,1
LD Tankstelle Öhringen,1
blitz-tank Tankstelle am ACC ,1
Auto-Kohler,1
Pink-Tank,1
roth,1
Stoffmehl,1
BTW,1
FIT,1
BFT Tankstelle Vornmoor GmbH,1
Union Zapfstelle,1
LKT,1
Landau Tankzentrum,1
Rottal Tankstelle  ,1
SONSTIGE,1
Freie Tankstelle Krenn,1
Supermarkt Tankstelle,1
FREIE WELLE,1
Wengel & Dettelbacher GmbH,1
Freie Tankstelle Körschen,1
TAP Duisburg,1
Freie Tankstelle Schneider,1
Eberhardt (Diedelsheim),1
Lölfin,1
Profi-T,1
Tankstelle Buckreus,1
Tankstelle Logabirum,1
Brzezina GmbH - Drebber,1
Zahradnik GmbH,1
BFT Pieper,1
Tankstelle-Reilmann,1
Autohaus Rickmeier GmbH,1
bft-Tankstelle-Uesbeck,1
Saggel GbR Lauenförde,1
Neumann Tankstelle GmbH,1
BFT Tankstelle Mucke,1
Classic,1
Schumacher Roisdorf,1
Auto SPREVES,1
super wash,1
WEVAG Autohof,1
Schnorberger,1
Brzezina / Wiechers Diepholz,1
ALLGUTH ,1
Beernink´s Freie Tankstelle,1
SB Tanken 24H,1
Morgenstern GmbH - Freie Tankstelle Liblar,1
Freie Tankstelle Kühling Transporte,1
SB-Tank Scherer,1
Seiffert,1
Freie Tankstelle Ostermünchen,1
Freie Tankstelle Limmer,1
Tankstelle Schäfer,1
LIQUI-MOLY,1
Classic Tankstelle Wirth,1
freie Tankstelle Endrass,1
Freie Tankstelle Blatt,1
AVIA ,1
BeckmannLindemann GmbH,1
Steffens Kfz Rep. GmbH,1
CT Mineralöle,1
Tank Stop Best,1
Autohaus Maier,1
Freie Tankstelle Neusaess,1
Schorfheide,1
Rubart,1
Lange Mineralöl GmbH,1
Deltin,1
Freie Tankstelle Pöpken,1
Hümmer KG,1
DBV,1
Mineralöle Andrys,1
Strelapark Tank,1
famila,1
Hauer,1
BSB Benzinkontor GmbH & Co. KG,1
H & F Logistik GmbH,1
Freie Tankstelle Grawinkel,1
Freie Tankstelle Wiehe,1
AMIDI Freie Tankstelle,1
Eberhardt Unteröwisheim,1
Eberhardt Hambrücken,1
Raiffeisen-Warengenossenschaft Budjadingen-Seefeld eG,1
Tankzentrum Lacher,1
Freie Tankstelle Rinck,1
Autofit Freie Tankstelle,1
Freie Tankstelle Heinzelmann,1
Tankstelle Klinger,1
Lanwehr,1
Möbel Inhofer GmbH & Co. KG                ,1
Car Friedrich GmbH,1
Tanken mit Bedienung Schulte,1
Tankstelle Donautal,1
Eberhardt Ubstadt,1
Depenbrock Freie Tankstelle,1
WITTIG Tankautomatenstation,1
PT 1,1
Freie Tankstelle Frank Ziller e.K.,1
BFT Wolfhagen,1
Freie Tankstelle Krause,1
Tankstation Offenbach,1
Freie Tankstelle Auto Schmidt GmbH,1
